id,user_id,用户昵称,微博正文,话题,转发数,评论数,点赞数,发布时间
4.83935E+15,1663743851,奥维云网AVC,"奥维云网avc清晰度越高的电视，呈现出的画面效果越逼真，对于球迷们来说能够时刻保持超清质感的电视才更具真实观看感,可以更细致且多层次地还原世界杯比赛的每个画面细节。8K清晰度技术的逐渐成熟，也将体育赛事的直、转播带入了新的时代，如2022年的北京冬奥会和正在进行的卡塔尔世界杯，更是唤起消费者对8K超高清电视的强烈兴趣。据奥维云网（AVC）全渠道推总数据显示，2022年1-10月，中国彩电市场8K清晰度电视零售量规模同比去年同期增长27.2%，正处于渗透活跃期。",,0,0,0,2022/11/24 15:02
4.83934E+15,6779884271,最火剧综,2008北京奥运会VS2022北京冬奥会。真的是笑死了。,,0,0,2,2022/11/24 14:58
4.83934E+15,2767648917,中国冠县,15个分项、12支中国国家队……在年初的北京冬奥会，安踏为冰雪健儿提供了短道速滑服、钢架雪车鞋、滑雪服等一系列专业竞技服，助力中国队取得了优异的O网页链接,,0,0,0,2022/11/24 14:53
4.83934E+15,7573564802,华北电力大学校园融媒体工作站,华北电力大学保定#华北电力大学保定##北京2022年冬奥会#相约冰雪、志愿青春就在去年11月，经过笔试面试、体能测试、资格审查等层层选拔我校共46名师生成为北京冬奥会和冬残奥会志愿者进驻张家口赛区制证和注册服务中心等场馆负责接待翻译、证件制作管理、证件系统维护、制服发放、人事管理等工作冬奥会是展示中国文化、大学文化和志愿者形象的平台每一位志愿者都代表着中国青年、河北青年的精神风貌他们用真诚而自信的微笑和暖心而专业的服务迎接八方来客让奉献之火温暖了整个冬天，让电力之光闪耀在冬奥赛场,"华北电力大学保定,北京2022年冬奥会",0,0,0,2022/11/24 14:34
4.83933E+15,1766145514,圈小末,原来是真的！会玩的孩子真的有出息！谷爱凌北京冬奥会冬奥百人大咖团娱乐明星演员爱豆路透剧透拍戏现场更多视频关注博主#亿点曝光计划##给视频加buff#L圈小末的微博视频,"亿点曝光计划,给视频加buff",0,0,0,2022/11/24 14:19
4.83933E+15,7287248461,胡杨教育李老师,2022年8月28日山东事业单位面试真题（日照市-医疗岗）考情提示：10分钟，无题本，有纸笔，考官读题。1.在2022北京冬奥会期间，外国友人对我们的中医药展台非常感兴趣。对此，你怎么看？2.你们单位接到电话说某化工厂发生爆炸，有十一名伤员。作为急诊科大夫，你会怎么处理？,,0,0,0,2022/11/24 14:12
4.83933E+15,1892097037,东方财经浦东,【#拥抱冰雪经济#】2022年北京冬奥会的成功举办，让冰雪运动走进了大家的视野。滑雪品牌SNOW51在城市商圈中建造了滑雪机，并引入了专业的培训体系，让人们在不常下雪的上海也能体验到滑雪运动的魅力。L东方财经浦东的微博视频,拥抱冰雪经济,0,0,0,2022/11/24 13:54
4.83932E+15,6740693909,报刊亭阿嬷,你是在搜索赖美云、小七、lmy吗2021年收听人数5000w＋?千万播放出圈LIVE《萱草花》《奇迹再现》《远走高飞》?常驻综艺《战至巅峰》女法王Carry全场?国民综艺哔哩哔哩向前冲常驻解说员?根正苗红青年歌手，官方认证"良好社会影响力的文艺嘉宾"?献唱2022年冬奥会和冬残奥会《听北京说你好》??献唱2022年亚运会《送你一个拥抱》??国庆新歌《我与国》独家上线学习强国，新华社，人民日报，学习强国播放量60w＋??QQ音乐酷狗音乐酷我音乐free收听个人首专《出发地平线》?首专《出发，地平线》2021年度十大热门专辑?小七专注事业?舞台晚会OST综艺品牌合作行程多多?让内娱甜妹天花板@赖美云治愈你一切不开心?#王冰冰赖美云甜妹同框#lmy#赖美云#,"王冰冰赖美云甜妹同框,赖美云",0,0,10,2022/11/24 13:17
4.83932E+15,7609427123,旧时明月犹相照,米哈游《原神》音乐团队参与了北京冬奥会音乐库组建，已通过测试活动和系列测试赛对音乐库的音乐分类、曲目选择、录入、双语标签设定等工作进行全方位、多维度的测试。,,0,0,0,2022/11/24 13:14
4.83931E+15,7353966565,XZ_唇下痣DAYTOY,#肖战盛阳#xz#肖战骄阳伴我#让我们一起跟着歌声，感受2020北京冬奥会。歌声好听，人也好帅了。@X玖少年团肖战DAYTOYL冬梦之约官方微博的微博视频,"肖战盛阳,肖战骄阳伴我",0,11,11,2022/11/24 12:41
