id,user_id,用户昵称,微博正文,话题,转发数,评论数,点赞数,发布时间
4.72098E+15,2313861822,义乌商报官方微博,#浙里一家亲##冬夜渐寒抗疫很暖#【扩散周知！元旦假期请收好这份“攻略”→】为切实做好新冠肺炎疫情防控工作，保障全市人民群众身体健康和生命安全，特此通告：O网页链接,"浙里一家亲,冬夜渐寒抗疫很暖",0,0,0,2022/1/1 23:59
4.72098E+15,2012536357,金华直播间,#浙江宁波新增7例确诊#【宁波疫情】元旦上午宁波市北仑区通报1例新冠肺炎确诊病例以来，北仑区启动了大规模核酸检测工作。截至22时，北仑区又检出阳性感染者6例，均为在封控区内主动筛查发现，已被诊断为新冠肺炎确诊病例（轻型）。至此，宁波北仑本轮疫情已累计报告7例确诊病例。,浙江宁波新增7例确诊,0,0,2,2022/1/1 23:58
4.72098E+15,3876342106,大庆市中级人民法院,【#洛阳市新安县两地调整为中风险地区#】记者从新安县新冠肺炎疫情防控指挥部获悉，自2022年1月1日起，该县正村镇正村社区、西沟村调整为中风险地区，其他地区为低风险地区。中风险地区实行封闭管理，限制人员流动，最大限度严防疫情传播风险。（新华社）,洛阳市新安县两地调整为中风险地区,6,6,1,2022/1/1 23:58
4.72098E+15,1393515952,遵义交警支队,【浙江宁波北仑区新增6例确诊病例】2022年1月1日，浙江省宁波市召开的新冠肺炎疫情防控工作新闻发布会上通报，1月1日上午宁波市北仑区通报一例新冠肺炎确诊病例以来，宁波市北仑区启动了大规模核酸检测工作，截至22时，累计采样38.53万人份，已出报告12570人份，检出阳性感染者6例，均为在封控区内主动筛查发现，已被诊断为新冠肺炎确诊病例（轻型）。#聚焦新冠肺炎疫情#L新京报我们视频的微博视频（编辑：王虎运营：易可）,聚焦新冠肺炎疫情,0,0,0,2022/1/1 23:58
4.72098E+15,6616663799,今天发sci毕业了吗,今天去看了《越过寒冬拥抱你》几个瞬间令我发生触动“在看到因新冠肺炎而去世的实习生的遗照回忆起了和自己初次见面的快乐时光”“在看到退休的老奶奶又回到前线奋战却感染肺炎时她外孙站在阳台哭的很大声很多邻居打开了自己家的灯以及她的‘老伴’她们俩在退休年纪时的爱情”“在看到妻子知道丈夫最好的朋友因新冠肺炎去世后后悔大年三十向他要账而在雨中和丈夫崩溃大哭”“在看到一整个街道浓浓的消毒喷雾以及来自各个省份的物资车到达的时候”“在最后看到叶老师为五个人捐赠了器官使他们获得重生的时候”令我动容，原来2020年已经过去了两年了，因为疫情生活中发生了很多改变，而疫情爆发的2020年也被称为了那一年，也有一些人被永远的留在了那一年。,,0,0,6,2022/1/1 23:57
4.72098E+15,2658936811,骨董行,有镇海经验了，短时间就封控、核酸、新闻发布。应对速度迅速。相信宁波很快就能控制！【宁波北仑确诊7例：德尔塔进化分支，与近期越南病例基因相似】#浙江宁波新增7例确诊#2022年1月1日22时30分，浙江省宁波市召开的新冠肺炎疫情防控工作新闻发布会上通报，1月1日上午宁波市北仑区通报一例新冠肺炎确诊病例以来，宁波市北仑区启动了大规模核酸检测工作，截至22时，累计采样38.53万人份，已出报告12570人份，检出阳性感染者6例，均为在封控区内主动筛查发现，已被诊断为新冠肺炎确诊病例（轻型）。目前正在开展管控区和防范区的大规模核酸采样检测工作。宁波北仑本轮疫情已累计报告7例确诊病例。据2022年1月1日晚宁波市新冠肺炎疫情防控工作新闻发布会消息，宁波本轮疫情确诊病例毒株基因组测序结果为德尔塔AY.57病株进化分支。经比对分析，该病毒病株与镇海区、上虞区疫情的进化分支不一致，排除来自上述地区的嫌疑，与近期越南发现的病例基因相似。VIS央视新闻,浙江宁波新增7例确诊,0,0,3,2022/1/1 23:57
4.72098E+15,1699432410,新华社,【#洛阳市新安县两地调整为中风险地区#】记者从新安县新冠肺炎疫情防控指挥部获悉，自2022年1月1日起，该县正村镇正村社区、西沟村调整为中风险地区，其他地区为低风险地区。中风险地区实行封闭管理，限制人员流动，最大限度严防疫情传播风险。（记者韩朝阳）,洛阳市新安县两地调整为中风险地区,23,3,116,2022/1/1 23:57
4.72098E+15,2137702333,东平事儿,#泰安身边事#【东平县部署元旦春节期间新冠肺炎疫情防控等工作】东平#我要上同城精选#发布了头条文章：《东平县部署元旦春节期间新冠肺炎疫情防控等工作》O东平县部署元旦春节期间新冠肺炎疫情防控等工作,"泰安身边事,我要上同城精选",0,0,1,2022/1/1 23:57
4.72098E+15,2588129952,北仑发布,#权威发布#【宁波市北仑区新增6例确诊病例，病毒基因测序为德尔塔变异株】#宁波抗疫日记#2022年1月1日，宁波市新冠肺炎疫情防控工作新闻发布会举行，北仑区委副书记、北仑区代区长王程通报北仑区疫情最新相关情况。市疾控中心副主任、主任医师易波参加发布会，并回答记者提问。,"权威发布,宁波抗疫日记",3,4,3,2022/1/1 23:56
4.73258E+15,6319486063,爱帽子戏法,上周（2月24日-3月1日），新冠肺炎病毒进一步向全球扩散。对疫情的恐慌也引起了股票、黄金等资产的大跌，欧美股市更是创下自2008年金融危机以来最大单周跌幅纪录。,,0,0,0,2022/2/2 23:59
4.73258E+15,3191106110,车报导,广东惠州暂停前往北京航班：广东惠州市防控新冠肺炎疫情工作领导小组办公室发布疫情管控措施通告，其中提出严格进京管理。从2月1日24时起，暂停前往北京航班，停售进京火车票，已售机票、火车票按规定办理退票。自2月1日24时起，所有从机场、铁路（含城轨）、汽车客运站场离惠旅客，须持有48小时内核酸检测阴性证明方可出行。#艾蕲宝芽簇春茗茶店铺#,艾蕲宝芽簇春茗茶店铺,0,0,0,2022/2/2 23:58
4.73258E+15,1612660824,津彩生活,#香港#無綫新聞沙田多個地點納入強制檢測。本港今日新增103宗新冠肺炎確診個案。林鄭月娥及多名官員分別探望抗疫人員。L津彩生活的微博视频,香港,0,1,4,2022/2/2 23:56
4.73258E+15,2802308054,简简单单-lily姐,1月31日北京新增2例本土新冠肺炎确诊病例和1例无症状感染者O1月31日北京新增2例本土新冠肺炎确诊病例和1例无症状感染者,,0,0,0,2022/2/2 23:55
4.73258E+15,2413910105,紫紫紫薇呀,【疫情防控】深圳、中山、珠海相继调整新冠肺炎疫情风险等级O【疫情防控】深圳、中山、珠海相继调整新冠肺炎疫情风险等级,,0,0,1,2022/2/2 23:54
