文本内容,时间,点赞,评论,转发
【夜读：一个人成长的最好方式，是战胜自己】生活中，我们最大的对手其实是自己。遇事能自省、寻根源、求突破，能够战胜自己，才是一个人获得成长最好的方式。 http://t.cn/A6o3FBiS ???,Wed Nov 09 22:25:38 +0800 2022,1245,567,463
【祝贺！#全锦赛林高远王曼昱混双夺冠#】2022全国乒乓球锦标赛混双决赛，@Eric-林高远 /@王曼昱 4比2 @王楚钦___ /@孙颖莎 获得混双冠军。双方比分不断紧咬，上演高质量对决！感受#全锦赛混双对拉现场#↓↓http://t.cn/A6o3DhaI ???,Wed Nov 09 22:00:08 +0800 2022,6081,621,360
【收好#给7类人的睡眠指南#】睡眠障碍通常分为以下七种类型：①入睡困难；②维持睡眠困难；③早醒；④睡眠不规律；⑤多梦；⑥打鼾和呼吸暂停；⑦主观性失眠。#7种失眠类型你属于哪一种# ？如何保证高质量睡眠？收好这些知识↓↓↓祝你睡个好觉！http://t.cn/A6iHobPa ???,Wed Nov 09 21:17:00 +0800 2022,1013,305,480
【这是#最硬核的红月亮同框#！传递，致敬】昨晚，月全食震撼登场。在静静的军港、威武的军舰、执勤的哨岗，红月亮见证了每一份守护！一组震撼红月亮壁纸↓↓↓收藏，致敬！http://t.cn/A6o3BIiy ???,Wed Nov 09 20:54:46 +0800 2022,2001,351,345
【跃出屏幕的震撼！#裸眼3D看中国航展#】中国航展正在进行时！开启一场沉浸式体验，感受运油-20、歼-20、歼-16的矫健身姿！#沉浸式体验战机飞出屏幕#↓↓ http://t.cn/A6o3Hg9D ???,Wed Nov 09 19:46:10 +0800 2022,1461,260,327
【#长江最初的样子长啥样#？航拍视角见证发源地】中国人一直在寻找长江的源头，到1978年才最终确定，长江发源于各拉丹冬雪山。跟随镜头来到姜根迪如冰川，#航拍长江第一滴水的模样#↓↓ 从这里开始，涓涓细流，穿越草原、峡谷，一路向东，成为浩荡长江。http://t.cn/A6o3SxTj ???,Wed Nov 09 18:55:33 +0800 2022,1235,329,383
【壮美！#秦岭冬日云海大片#】立冬时节，秦岭终南山斑斓山色尽收眼底，流云奔涌，群山尽显巍峨。感受#今年冬天秦岭的第一片云海# ↓↓↓http://t.cn/A6ouzuX6 ???,Wed Nov 09 18:13:08 +0800 2022,1502,417,422
【#用无畏去守卫#！】他们本是和我们一样的普通人，但危难之际，他们却义无反顾地逆行。全国消防日，致敬每一位消防员！逆行向险的你们，愿每次出征，都能平安归来！#致敬消防英雄# ???,Wed Nov 09 17:24:55 +0800 2022,3373,532,630
【#人民空军73周年宣传片#来袭！网友：#硬核画面不需要配文案#】空中视角看三剑客搏击空天。人民空军“生日”在即，感受砺剑空天、奋飞一流的豪情↓↓↓预祝#人民空军73岁生日快乐#！http://t.cn/A6o3o7vJ ???,Wed Nov 09 16:54:38 +0800 2022,1452,235,398
【#中方回应美延续特朗普时期对华禁令#：坚决反对】9日，外交部发言人赵立坚主持记者会。有记者提问，美国白宫宣布决定延续实施特朗普时期颁布的对华禁令，禁止美国人投资与中国军方有关联的中国公司。赵立坚表示，美方延续上届政府错误做法，出于政治目的实施针对所谓中国“涉军企业”的投资禁令，完 ???,Wed Nov 09 16:16:58 +0800 2022,2976,412,340
