id,user_id,用户昵称,微博正文,话题,转发数,评论数,点赞数,发布时间
4.83935E+15,1735924965,尔鱼我炸sunny,FIFA卡塔尔世界杯揭幕战-------O网页链接对于生活中很多事该看淡就要看淡了，瑞士喀麦隆不要执迷于过去，乌拉圭vs韩国乐观的活在未来，才是人生最好的活法，葡萄牙加纳其是到了这个年纪，也该明白这三个道理了，。,,0,0,0,2022/11/24 15:35
4.83935E+15,3210090747,我曾在那一角落遇見蒲公英,我们将要开始世界杯最盛大的足球比赛，希望能让所有葡萄牙人感到骄傲和喜悦。”C罗还表示，没有什么是不可能的。#卡塔尔世界杯#11??24日18:00瑞士～喀麦隆葡萄牙～加纳推介（斯信）世界杯#好物推荐#,"卡塔尔世界杯,好物推荐",0,0,0,2022/11/24 15:35
4.83935E+15,7528279985,lllllyyyyyyyy333,我在蒙牛2022卡塔尔#世界杯#抽奖大转盘活动中获得68积分！快来和我一起做任务抽奖赢好礼吧！世界杯期间每进一球蒙牛还会送出1000箱奶，记得#无论谁进球都来找蒙牛#！O网页链接,"世界杯,无论谁进球都来找蒙牛",0,0,0,2022/11/24 15:35
4.83935E+15,2277250175,GuAn关郑,23卡塔尔世界杯-------O网页链接落红翩翩舞22，时光悄悄逐。问世间，谁能不向年华认输，只叫愁客一生感悟。乌拉圭vs韩国岁月就如同片片的落红般，划过人间的尘埃，,,0,0,0,2022/11/24 15:35
4.83935E+15,7298834314,短短栩,#近击卡塔尔#@金典SATINE哈哈哈这些小游戏让我更加感受到世界杯的氛围了，玩一玩小游戏，喝着金典奶，为世界杯加油,近击卡塔尔,0,0,0,2022/11/24 15:35
4.83935E+15,3795205035,大嘎吼-渣渣辉,梅西世界杯首球2022卡塔尔世界杯#我的秋日plog#L大嘎吼-渣渣辉的微博视频,我的秋日plog,0,0,0,2022/11/24 15:35
4.83935E+15,1665798255,凌V可依,一直很爱当年贺炜的一句话“你爱上一件事物，不是因为它的成败，而是它的气质！”入坑足球??是因为喜欢狮王卡恩够刚够血性！可近十几年的德国??，无论世界杯还是欧冠都让我深深怀疑还是不是我爱的那个德意志战车？除了在我爱的诺爸身上还能看到一点少得可怜的硬汉和铁血外（可小新一转眼也36了，可能最后一次世界杯了，还能跑对方禁区几次?），整个队踢得犹豫、软绵～完全没有了曾经会让你看比赛看到热血沸腾的那种快速运转、干净利落、大开大合、硬拼到底的气质～无锋也无后防（网友评论“前场绣花，后场稀烂”），也没了最拿手的定位球绝招，无论打什么队都让你提心吊胆，转眼十几年已经被这支德国队??虐得没脾气，速效救心丸都不用吃了～?（非球迷仅追星诺伊尔的鄙见，可能不仅是个人能力问题，也是训练和战术问题吧）无比好怀念当年那辆载着小新、k神、二娃、小猪、小媳妇、博阿滕、拉姆、戈麦斯……管他三七二十一，硬扛拼到底，一路向前狂奔的日耳曼战车呀～???德国球迷俱乐部#诺伊尔##卡塔尔世界杯#2022卡塔尔足球世界杯#德国vs日本#,"诺伊尔,卡塔尔世界杯,德国vs日本",0,0,0,2022/11/24 15:35
4.83935E+15,1433578417,跨海望日升,2022年卡塔尔世界杯一吉祥物拉伊卜走红“饺子皮”,,0,0,0,2022/11/24 15:35
4.83935E+15,1919291765,武汉铁路,#武铁微分享#【追梦大力神杯！今晚，#C罗出战#！】16年前，C罗首登世界杯赛场。今晚00：00，#葡萄牙对阵加纳#，C罗的第五次世界杯之旅即将启程，他将再次向大力神杯发起冲击！#C罗卡塔尔世界杯首秀#，一起期待！L人民日报的微博视频,"武铁微分享,C罗出战,葡萄牙对阵加纳,C罗卡塔尔世界杯首秀",0,0,0,2022/11/24 15:35
4.83935E+15,1619501602,脱力宇宙,卡塔尔世界杯Hj77.CC/世界杯/迈求一个人起码要在感情上失恋一次，在事业上失败一次，在选择上失误一次，才能真正的长大。所以，别怕输不起，一切来得及。推荐楼底与楼顶的风景，永远不同，谁也别羡慕谁。乌拉圭韩国,,0,0,0,2022/11/24 15:35
4.83934E+15,6156735356,正义小黄鸭,卡塔尔新晋网红-地铁男?#卡塔尔是懂指路的##世界杯预测#L正义小黄鸭的微博视频,"卡塔尔是懂指路的,世界杯预测",12,25,69,2022/11/24 15:00
4.83934E+15,5699428525,临潼检察,【#哪届世界杯吉祥物是你最爱#？】近日，卡塔尔世界杯吉祥物拉伊卜受到关注。历届世界杯吉祥物，哪个是你的青春记忆？戳视频↓↓一起回忆！L人民日报的微博视频,哪届世界杯吉祥物是你最爱,0,0,0,2022/11/24 15:00
4.83934E+15,1043320390,半岛晨报,【#乌拉圭vs韩国#，你看好哪队？】#直击卡塔尔世界杯#今日21:00，韩国迎战乌拉圭。沙特、日本两支亚洲均在世界杯首秀中成为亚洲之光，那么韩国队能不能继续亚洲奇迹，乌拉圭vs韩国，你看好哪队？#世界杯预测##压力来到韩国这边#乌拉圭vs韩国，你看好哪队？,"乌拉圭vs韩国,直击卡塔尔世界杯,世界杯预测,压力来到韩国这边",0,0,293,2022/11/24 15:00
